,ape,ape_name,ape_len,ape_cat0,ape_cat1,ape_cat2,ape_cat3,ape_cat4,enthic
395,1391Z,Fabrication d'étoffes à mailles,5,13,9,1,Z,,395
396,2740Z,Fabrication d'appareils d'éclairage électrique,5,27,4,0,Z,,396
397,7711A,Location de courte durée voitures & véhicules auto. légers,5,77,1,1,A,,397
398,7722Z,Location de vidéocassettes et disques vidéo,5,77,2,2,Z,,398
399,9103Z,Gestion sites monuments historiques & attractions tourist. simil.,5,91,0,3,Z,,399
400,453,Commerce d'équipements automobiles,3,45,3,,,,400
401,9004Z,Gestion de salles de spectacles,5,90,0,4,Z,,401
402,9603Z,Services funéraires,5,96,0,3,Z,,402
403,4643Z,Commerce de gros d'appareils électroménagers,5,46,4,3,Z,,403
404,4339Z,Autres travaux de finition,5,43,3,9,Z,,404
405,741,Activités spécialisées de design,3,74,1,,,,405
406,0129Z,Autres cultures permanentes,5,01,2,9,Z,,406
407,9820,Activ. indifférenciées ménages  : produc. services (usage propre),4,98,2,0,,,407
408,4332B,Travaux de menuiserie métallique et serrurerie,5,43,3,2,B,,408
409,4671Z,Commerce de gros de combustibles et de produits annexes,5,46,7,1,Z,,409
410,234,Fabrication d'autres produits en céramique et en porcelaine,3,23,4,,,,410
411,72,Recherche-développement scientifique,2,72,,,,,411
412,6920,Activités comptables,4,69,2,0,,,412
413,802,Activités liées aux systèmes de sécurité,3,80,2,,,,413
414,1724,Fabrication de papiers peints,4,17,2,4,,,414
415,4391,Travaux de couverture,4,43,9,1,,,415
416,4754,Commerce de détail appareils électroménagers (magasin spécialisé),4,47,5,4,,,416
417,06,Extraction d'hydrocarbures,2,06,,,,,417
418,133,Ennoblissement textile,3,13,3,,,,418
419,451,Commerce de véhicules automobiles,3,45,1,,,,419
420,99,Activités de soutien aux autres industries extractives,2,99,,,,,420
421,1413,Fabrication de vêtements de dessus,4,14,1,3,,,421
422,7211,Recherche-développement en biotechnologie,4,72,1,1,,,422
423,4910Z,Transport ferroviaire interurbain de voyageurs,5,49,1,0,Z,,423
424,2341Z,"Fabrication d'articles céramiques à usage domestique, ornemental",5,23,4,1,Z,,424
425,2441Z,Production de métaux précieux,5,24,4,1,Z,,425
426,2530Z,Fabric. générateurs vapeur sf chaudières pour chauffage central,5,25,3,0,Z,,426
427,8424,Activités d’ordre public et de sécurité,4,84,2,4,,,427
428,8730A,Hébergement social pour personnes âgées,5,87,3,0,A,,428
429,0116Z,Culture de plantes à fibres,5,01,1,6,Z,,429
430,2452,Fonderie d'acier,4,24,5,2,,,430
431,5210B,Entreposage et stockage non frigorifique,5,52,1,0,B,,431
432,781,Activités des agences de placement de main-d'oeuvre,3,78,1,,,,432
433,4519Z,Commerce d'autres véhicules automobiles,5,45,1,9,Z,,433
434,312,Pêche en eau douce,3,31,2,,,,434
435,1622,Fabrication de parquets assemblés,4,16,2,2,,,435
436,6399,Autres services d'information n.c.a.,4,63,9,9,,,436
437,0122Z,Culture de fruits tropicaux et subtropicaux,5,01,2,2,Z,,437
438,3299,Autres activités manufacturières n.c.a.,4,32,9,9,,,438
439,2849,Fabrication d'autres machines-outils,4,28,4,9,,,439
440,532,Autres activités de poste et de courrier,3,53,2,,,,440
441,7010,Activités des sièges sociaux,4,70,1,0,,,441
442,1399Z,Fabrication d'autres textiles n.c.a.,5,13,9,9,Z,,442
443,2895,Fabrication de machines pour les industries du papier et carton,4,28,9,5,,,443
444,2813Z,Fabrication d'autres pompes et compresseurs,5,28,1,3,Z,,444
445,323,Fabrication d'articles de sport,3,32,3,,,,445
446,5629A,Restauration collective sous contrat,5,56,2,9,A,,446
447,9491,Activités des organisations religieuses,4,94,9,1,,,447
448,322,Fabrication d'instruments de musique,3,32,2,,,,448
449,31,Pêche,2,31,,,,,449
450,1106,Fabrication de malt,4,11,0,6,,,450
451,7733,Location et location-bail machines bureau & matériel informatique,4,77,3,3,,,451
452,7810Z,Activités des agences de placement de main-d'oeuvre,5,78,1,0,Z,,452
453,8532,Enseignement secondaire technique ou professionnel,4,85,3,2,,,453
454,4676,Commerce de gros d'autres produits intermédiaires,4,46,7,6,,,454
455,4634,Commerce de gros de boissons,4,46,3,4,,,455
456,3092,Fabrication de bicyclettes et de véhicules pour invalides,4,30,9,2,,,456
457,4641,Commerce de gros de textiles,4,46,4,1,,,457
458,0311Z,Pêche en mer,5,03,1,1,Z,,458
459,4674B,Commerce de gros de fournitures pour la plomberie et le chauffage,5,46,7,4,B,,459
460,4920,Transports ferroviaires de fret,4,49,2,0,,,460
461,9200,Organisation de jeux de hasard et d'argent,4,92,0,0,,,461
462,2229B,Fabrication produits de consommation courante en plastique,5,22,2,9,B,,462
463,1089,Fabrication d'autres produits alimentaires n.c.a.,4,10,8,9,,,463
464,221,Fabrication de produits en caoutchouc,3,22,1,,,,464
465,6492,Autre distribution de crédit,4,64,9,2,,,465
466,112,Culture du riz,3,11,2,,,,466
467,103,Transformation et conservation de fruits et légumes,3,10,3,,,,467
468,1414,Fabrication de vêtements de dessous,4,14,1,4,,,468
469,2344Z,Fabrication d'autres produits céramiques à usage technique,5,23,4,4,Z,,469
470,5813,Édition de journaux,4,58,1,3,,,470
471,8520,Enseignement primaire,4,85,2,0,,,471
472,8623,Pratique dentaire,4,86,2,3,,,472
473,2599A,Fabrication d'articles métalliques ménagers,5,25,9,9,A,,473
474,9511Z,Réparation d'ordinateurs et d'équipements périphériques,5,95,1,1,Z,,474
475,1200Z,Fabrication de produits à base de tabac,5,12,0,0,Z,,475
476,0145Z,Élevage d'ovins et de caprins,5,01,4,5,Z,,476
477,5911B,Production de films institutionnels et publicitaires,5,59,1,1,B,,477
478,2222,Fabrication d'emballages en matières plastiques,4,22,2,2,,,478
479,2410,Sidérurgie,4,24,1,0,,,479
480,5122,Transports spatiaux,4,51,2,2,,,480
481,0891Z,Extraction des minéraux chimiques et d'engrais minéraux,5,08,9,1,Z,,481
482,6621,Évaluation des risques et dommages,4,66,2,1,,,482
483,0121Z,Culture de la vigne,5,01,2,1,Z,,483
484,26,"Fabrication de produits informatiques, électroniques et optiques",2,26,,,,,484
485,7912,Activités des voyagistes,4,79,1,2,,,485
486,321,Aquaculture en mer,3,32,1,,,,486
487,6499Z,"Autres activ. serv. financiers sf assurance & c. de retraite, nca",5,64,9,9,Z,,487
488,9101,Gestion des bibliothèques et des archives,4,91,0,1,,,488
489,8292Z,Activités de conditionnement,5,82,9,2,Z,,489
490,1081,Fabrication de sucre,4,10,8,1,,,490
491,251,Fabrication d'éléments en métal pour la construction,3,25,1,,,,491
492,3091,Fabrication de motocycles,4,30,9,1,,,492
493,1085Z,Fabrication de plats préparés,5,10,8,5,Z,,493
494,2592Z,Fabrication d'emballages métalliques légers,5,25,9,2,Z,,494
495,4662Z,Commerce de gros (commerce interentreprises) de machines-outils,5,46,6,2,Z,,495
496,4741,Comm. détail ordinateurs unités périph. & logiciels (magas. spéc),4,47,4,1,,,496
497,51,Extraction de houille,2,51,,,,,497
498,4615,"Interm. comm. en meubles, articles de ménage et quincaillerie",4,46,1,5,,,498
499,5920,Enregistrement sonore et édition musicale,4,59,2,0,,,499
500,5819,Autres activités d'édition,4,58,1,9,,,500
501,2344,Fabrication d'autres produits céramiques à usage technique,4,23,4,4,,,501
502,4619A,Centrales d'achat non alimentaires,5,46,1,9,A,,502
503,2572Z,Fabrication de serrures et de ferrures,5,25,7,2,Z,,503
504,2815,Fabrication d'engrenages et d'organes mécaniques de transmission,4,28,1,5,,,504
505,6491Z,Crédit-bail,5,64,9,1,Z,,505
506,71,Extraction de minerais de fer,2,71,,,,,506
507,7830,Autre mise à disposition de ressources humaines,4,78,3,0,,,507
508,230,Récolte prod. forestiers non ligneux poussant à l'état sauvage,3,23,0,,,,508
509,3320D,"Instal. éqpts électriq, mat. électro. et optiq. ou aut. matériels",5,33,2,0,D,,509
510,5320Z,Autres activités de poste et de courrier,5,53,2,0,Z,,510
511,5621,Services des traiteurs,4,56,2,1,,,511
512,8425Z,Services du feu et de secours,5,84,2,5,Z,,512
513,150,Culture et élevage associés,3,15,0,,,,513
514,2319,Fabrication & façonnage autres articles verre yc verre technique,4,23,1,9,,,514
515,4631Z,Commerce de gros (commerce interentreprises) de fruits et légumes,5,46,3,1,Z,,515
516,4677Z,Commerce de gros (commerce interentreprises) de déchets et débris,5,46,7,7,Z,,516
517,942,Activités des syndicats de salariés,3,94,2,,,,517
518,8891A,Accueil de jeunes enfants,5,88,9,1,A,,518
519,201,"Fab. prod. chimiq. base, azoté, engrais, plast. & caoutch. synth.",3,20,1,,,,519
520,08,Autres industries extractives,2,08,,,,,520
521,16,Activ. soutien à l'agriculture & trt primaire des récoltes,2,16,,,,,521
522,2420,"Fabric. tubes, tuyaux, profilés creux & accessoir. corresp. acier",4,24,2,0,,,522
523,2731,Fabrication de câbles de fibres optiques,4,27,3,1,,,523
524,4622,Commerce de gros de fleurs et plantes,4,46,2,2,,,524
525,139,Fabrication d'autres textiles,3,13,9,,,,525
526,1107A,Industrie des eaux de table,5,11,0,7,A,,526
527,3320C,Concept. d'ens. & assembl s/site d'éqpts ctrle des processus ind.,5,33,2,0,C,,527
528,2712,Fabrication de matériel de distribution et de commande électrique,4,27,1,2,,,528
529,5122Z,Transports spatiaux,5,51,2,2,Z,,529
530,602,Programmation de télévision et télédiffusion,3,60,2,,,,530
531,4742,Comm. détail matériels télécommunication (magasin spécialisé),4,47,4,2,,,531
532,1623Z,Fabrication de charpentes et d'autres menuiseries,5,16,2,3,Z,,532
533,9900Z,Activités des organisations et organismes extraterritoriaux,5,99,0,0,Z,,533
534,2591,Fabrication de fûts et emballages métalliques similaires,4,25,9,1,,,534
535,4633,"Com. gros produits laitiers, oeufs, huiles & mat. grasses comest.",4,46,3,3,,,535
536,8720A,Hébergement social pour handicapés mentaux et malades mentaux,5,87,2,0,A,,536
537,7410,Activités spécialisées de design,4,74,1,0,,,537
538,84,Administration publique et défense ; sécurité sociale obligatoire,2,84,,,,,538
539,101,Transform. & conserv. viande & préparation prod. à base de viande,3,10,1,,,,539
540,0119Z,Autres cultures non permanentes,5,01,1,9,Z,,540
541,130,Reproduction de plantes,3,13,0,,,,541
542,4332A,Travaux de menuiserie bois et PVC,5,43,3,2,A,,542
543,1721C,Fabrication d'emballages en papier,5,17,2,1,C,,543
544,66,Activités auxiliaires de services financiers et d'assurance,2,66,,,,,544
545,6910Z,Activités juridiques,5,69,1,0,Z,,545
546,2120Z,Fabrication de préparations pharmaceutiques,5,21,2,0,Z,,546
547,1013B,Charcuterie,5,10,1,3,B,,547
548,782,Activités des agences de travail temporaire,3,78,2,,,,548
549,60,Programmation et diffusion,2,60,,,,,549
550,9001Z,Arts du spectacle vivant,5,90,0,1,Z,,550
551,1711,Fabrication de pâte à papier,4,17,1,1,,,551
552,1106Z,Fabrication de malt,5,11,0,6,Z,,552
553,3831,Démantèlement d'épaves,4,38,3,1,,,553
554,92,Organisation de jeux de hasard et d'argent,2,92,,,,,554
555,8720B,Hébergement social pour toxicomanes,5,87,2,0,B,,555
556,462,Commerce de gros de produits agricoles bruts et d'animaux vivants,3,46,2,,,,556
557,803,Activités d'enquête,3,80,3,,,,557
558,1723,Fabrication d'articles de papeterie,4,17,2,3,,,558
559,9525Z,Réparation d'articles d'horlogerie et de bijouterie,5,95,2,5,Z,,559
560,8730B,Hébergement social pour handicapés  physiques,5,87,3,0,B,,560
561,5229A,"Messagerie, fret express",5,52,2,9,A,,561
562,2042,Fabrication de parfums et de produits pour la toilette,4,20,4,2,,,562
563,329,Activités manufacturières n.c.a.,3,32,9,,,,563
564,6611Z,Administration de marchés financiers,5,66,1,1,Z,,564
565,5829A,Édition de logiciels système et de réseau,5,58,2,9,A,,565
566,454,Commerce et réparation de motocycles,3,45,4,,,,566
567,4672,Commerce de gros de minerais et métaux,4,46,7,2,,,567
568,291,Construction de véhicules automobiles,3,29,1,,,,568
569,73,Publicité et études de marché,2,73,,,,,569
570,2219,Fabrication d'autres articles en caoutchouc,4,22,1,9,,,570
571,520,Extraction de lignite,3,52,0,,,,571
572,1073,Fabrication de pâtes alimentaires,4,10,7,3,,,572
573,370,Collecte et traitement des eaux usées,3,37,0,,,,573
574,2591Z,Fabrication de fûts et emballages métalliques similaires,5,25,9,1,Z,,574
575,871,Hébergement médicalisé,3,87,1,,,,575
576,990,Activités de soutien aux autres industries extractives,3,99,0,,,,576
577,2020,Fabrication de pesticides et d’autres produits agrochimiques,4,20,2,0,,,577
578,2630,Fabrication d'équipements de communication,4,26,3,0,,,578
579,4291,Construction d'ouvrages maritimes et fluviaux,4,42,9,1,,,579
580,8552,Enseignement culturel,4,85,5,2,,,580
581,2361Z,Fabrication d'éléments en béton pour la construction,5,23,6,1,Z,,581
582,2314Z,Fabrication de fibres de verre,5,23,1,4,Z,,582
583,325,Fabrication instruments & fournitures à usage médical & dentaire,3,32,5,,,,583
584,4399D,Autres travaux spécialisés de construction,5,43,9,9,D,,584
585,682,Location et exploitation de biens immobiliers propres ou loués,3,68,2,,,,585
586,6201Z,Programmation informatique,5,62,0,1,Z,,586
587,3319,Réparation d'autres équipements,4,33,1,9,,,587
588,2015,Fabrication de produits azotés et d'engrais,4,20,1,5,,,588
589,02,Sylviculture et exploitation forestière,2,02,,,,,589
590,4632A,Commerce de gros de viandes de boucherie,5,46,3,2,A,,590
591,494,Transports routiers de fret et services de déménagement,3,49,4,,,,591
592,1411,Fabrication de vêtements en cuir,4,14,1,1,,,592
593,9522,Réparation appareils électromén. & équipts maison & jardin,4,95,2,2,,,593
594,891,Extraction des minéraux chimiques et d'engrais minéraux,3,89,1,,,,594
595,4761,Commerce de détail de livres en magasin spécialisé,4,47,6,1,,,595
596,4941,Transports routiers de fret,4,49,4,1,,,596
597,4950,Transports par conduites,4,49,5,0,,,597
598,2059Z,Fabrication d'autres produits chimiques n.c.a.,5,20,5,9,Z,,598
599,237,"Taille, façonnage et finissage de pierres",3,23,7,,,,599
600,3250,Fabrication instruments & fournitures à usage médical & dentaire,4,32,5,0,,,600
601,2211Z,Fabrication et rechapage de pneumatiques,5,22,1,1,Z,,601
602,7111Z,Activités d'architecture,5,71,1,1,Z,,602
603,240,Services de soutien à l'exploitation forestière,3,24,0,,,,603
604,8430A,Activités générales de sécurité sociale,5,84,3,0,A,,604
605,5812Z,Édition de répertoires et de fichiers d'adresses,5,58,1,2,Z,,605
606,0990Z,Activités de soutien aux autres industries extractives,5,09,9,0,Z,,606
607,07,Extraction de minerais métalliques,2,07,,,,,607
608,275,Fabrication d'appareils ménagers,3,27,5,,,,608
609,4648,Commerce de gros d'articles d'horlogerie et de bijouterie,4,46,4,8,,,609
610,8422Z,Défense,5,84,2,2,Z,,610
611,4772,Comm. détail chaussures & articles cuir (magasin spécialisé),4,47,7,2,,,611
612,469,Commerce de gros non spécialisé,3,46,9,,,,612
613,7739Z,"Location et location-bail machines, équipements et biens divers",5,77,3,9,Z,,613
614,4110C,Promotion immobilière d'autres bâtiments,5,41,1,0,C,,614
615,6530,Caisses de retraite,4,65,3,0,,,615
616,5040Z,Transports fluviaux de fret,5,50,4,0,Z,,616
617,5040,Transports fluviaux de fret,4,50,4,0,,,617
618,1813,Activités de pré-presse,4,18,1,3,,,618
619,9529Z,Réparation d'autres biens personnels et domestiques,5,95,2,9,Z,,619
620,5320,Autres activités de poste et de courrier,4,53,2,0,,,620
621,5814,Édition de revues et périodiques,4,58,1,4,,,621
622,8129,Autres activités de nettoyage,4,81,2,9,,,622
623,4331,Travaux de plâtrerie,4,43,3,1,,,623
624,4638A,"Commerce de gros de poissons, crustacés et mollusques",5,46,3,8,A,,624
625,8121,Nettoyage courant des bâtiments,4,81,2,1,,,625
626,9524Z,Réparation de meubles et d'équipements du foyer,5,95,2,4,Z,,626
627,220,Exploitation forestière,3,22,0,,,,627
628,2319Z,Fabrication & façonnage autres articles verre yc verre technique,5,23,1,9,Z,,628
629,311,Pêche en mer,3,31,1,,,,629
630,2620,Fabrication d'ordinateurs et d'équipements périphériques,4,26,2,0,,,630
631,2391,Fabrication de produits abrasifs,4,23,9,1,,,631
632,4931,Transports urbains et suburbains de voyageurs,4,49,3,1,,,632
633,783,Autre mise à disposition de ressources humaines,3,78,3,,,,633
634,2594Z,Fabrication de vis et de boulons,5,25,9,4,Z,,634
635,18,Imprimerie et reproduction d'enregistrements,2,18,,,,,635
636,4764Z,Commerce de détail d'articles de sport en magasin spécialisé,5,47,6,4,Z,,636
637,8899A,Aut. accueil ou accompgnt sans hébergt d’enfants et adolescents,5,88,9,9,A,,637
638,531,Activ. poste dans le cadre d'une obligation de service universel,3,53,1,,,,638
639,2814Z,Fabrication d'autres articles de robinetterie,5,28,1,4,Z,,639
640,4622Z,Commerce de gros (commerce interentreprises) de fleurs et plantes,5,46,2,2,Z,,640
641,141,Élevage de vaches laitières,3,14,1,,,,641
642,2229A,Fabrication de pièces techniques à base de matières plastiques,5,22,2,9,A,,642
643,2530,Fabric. générateurs vapeur sf chaudières pour chauffage central,4,25,3,0,,,643
644,268,Fabrication de supports magnétiques et optiques,3,26,8,,,,644
645,3511Z,Production d'électricité,5,35,1,1,Z,,645
646,6209Z,Autres activités informatiques,5,62,0,9,Z,,646
647,2571,Fabrication de coutellerie,4,25,7,1,,,647
648,1812Z,Autre imprimerie (labeur),5,18,1,2,Z,,648
649,900,"Activités créatives, artistiques et de spectacle",3,90,0,,,,649
650,920,Organisation de jeux de hasard et d'argent,3,92,0,,,,650
651,8411Z,Administration publique générale,5,84,1,1,Z,,651
652,581,Édition de livres et périodiques et autres activités d'édition,3,58,1,,,,652
653,3099,Fabrication d’autres équipements de transport n.c.a.,4,30,9,9,,,653
654,2680,Fabrication de supports magnétiques et optiques,4,26,8,0,,,654
655,8520Z,Enseignement primaire,5,85,2,0,Z,,655
656,2432,Laminage à froid de feuillards,4,24,3,2,,,656
657,6391Z,Activités des agences de presse,5,63,9,1,Z,,657
658,1200,Fabrication de produits à base de tabac,4,12,0,0,,,658
659,1512,"Fabrication d'articles de voyage, de maroquinerie et de sellerie",4,15,1,2,,,659
660,171,"Fabrication de pâte à papier, de papier et de carton",3,17,1,,,,660
661,8720,Héberg. social person. handicap. & malades mentales & toxicomanes,4,87,2,0,,,661
662,24,Métallurgie,2,24,,,,,662
663,4775Z,Comm. détail de parfumerie & produits de beauté en magasin spéc.,5,47,7,5,Z,,663
664,4616,"Interm. comm. textiles, habillt, fourrures, chaussures & art cuir",4,46,1,6,,,664
665,4674,Comm. gros quincaillerie & fournitures pour plomberie & chauffage,4,46,7,4,,,665
666,721,Recherche-développement en sciences physiques et naturelles,3,72,1,,,,666
667,7911,Activités des agences de voyage,4,79,1,1,,,667
668,88,Action sociale sans hébergement,2,88,,,,,668
669,662,Activités auxiliaires d'assurance et de caisses de retraite,3,66,2,,,,669
670,6419Z,Autres intermédiations monétaires,5,64,1,9,Z,,670
671,0520Z,Extraction de lignite,5,05,2,0,Z,,671
672,4711C,Supérettes,5,47,1,1,C,,672
673,3512,Transport d'électricité,4,35,1,2,,,673
674,4724,Comm. détail pain pâtisserie & confiserie (magasin spécialisé),4,47,2,4,,,674
675,4618,Interm. spécialisés commerce d'autres produits spécifiques,4,46,1,8,,,675
676,1310,Préparation de fibres textiles et filature,4,13,1,0,,,676
677,0147Z,Élevage de volailles,5,01,4,7,Z,,677
678,4719A,Grands magasins,5,47,1,9,A,,678
679,2573B,Fabrication d'autres outillages,5,25,7,3,B,,679
680,563,Débits de boissons,3,56,3,,,,680
681,7211Z,Recherche-développement en biotechnologie,5,72,1,1,Z,,681
682,8610,Activités hospitalières,4,86,1,0,,,682
683,4778A,Commerces de détail d'optique,5,47,7,8,A,,683
684,2020Z,Fabrication de pesticides et d’autres produits agrochimiques,5,20,2,0,Z,,684
685,1085,Fabrication de plats préparés,4,10,8,5,,,685
686,3900Z,Dépollution et autres services de gestion des déchets,5,39,0,0,Z,,686
687,5590Z,Autres hébergements,5,55,9,0,Z,,687
688,1393Z,Fabrication de tapis et moquettes,5,13,9,3,Z,,688
689,892,Extraction de tourbe,3,89,2,,,,689
690,8690B,Laboratoires d'analyses médicales,5,86,9,0,B,,690
691,2931Z,Fabrication équipements électriques et électroniques automobiles,5,29,3,1,Z,,691
692,4321A,Travaux d'installation électrique dans tous locaux,5,43,2,1,A,,692
693,1103Z,Fabrication de cidre et de vins de fruits,5,11,0,3,Z,,693
694,8020Z,Activités liées aux systèmes de sécurité,5,80,2,0,Z,,694
695,9319,Autres activités liées au sport,4,93,1,9,,,695
696,9603,Services funéraires,4,96,0,3,,,696
697,50,Transports par eau,2,50,,,,,697
698,4322B,Travaux d'installation équipements thermiques et climatisation,5,43,2,2,B,,698
699,3822,Traitement et élimination des déchets dangereux,4,38,2,2,,,699
700,6201,Programmation informatique,4,62,0,1,,,700
701,0112Z,Culture du riz,5,01,1,2,Z,,701
702,2223,Fabrication d'éléments matières plastiques pour la construction,4,22,2,3,,,702
703,4339,Autres travaux de finition,4,43,3,9,,,703
704,4759A,Commerce de détail de meubles,5,47,5,9,A,,704
705,257,"Fabrication de coutellerie, d'outillage et de quincaillerie",3,25,7,,,,705
706,49,Transports terrestres et transport par conduites,2,49,,,,,706
707,1041A,Fabrication d'huiles et graisses brutes,5,10,4,1,A,,707
708,8010,Activités de sécurité privée,4,80,1,0,,,708
709,9003,Création artistique,4,90,0,3,,,709
710,2651A,Fabrication d'équipements d'aide à la navigation,5,26,5,1,A,,710
711,9491Z,Activités des organisations religieuses,5,94,9,1,Z,,711
712,256,Traitement et revêtement des métaux; usinage,3,25,6,,,,712
713,1812,Autre imprimerie (labeur),4,18,1,2,,,713
714,1431Z,Fabrication d'articles chaussants à mailles,5,14,3,1,Z,,714
715,749,"Autres activités spécialisées, scientifiques et techniques n.c.a.",3,74,9,,,,715
716,151,Prépa. des cuir & fourrure; fabric. art. voyage maroq. & sellerie,3,15,1,,,,716
717,8411,Administration publique générale,4,84,1,1,,,717
718,4637,"Commerce de gros de café, thé, cacao et épices",4,46,3,7,,,718
719,11,Fabrication de boissons,2,11,,,,,719
720,2362Z,Fabrication d'éléments en plâtre pour la construction,5,23,6,2,Z,,720
721,2592,Fabrication d'emballages métalliques légers,4,25,9,2,,,721
722,4617B,"Autres intermédiaires du commerce en denrées, boissons et tabac",5,46,1,7,B,,722
723,9329Z,Autres activités récréatives et de loisirs,5,93,2,9,Z,,723
724,9312,Activités de clubs de sports,4,93,1,2,,,724
725,8559B,Autres enseignements,5,85,5,9,B,,725
726,2812Z,Fabrication d'équipements hydrauliques et pneumatiques,5,28,1,2,Z,,726
727,3230Z,Fabrication d'articles de sport,5,32,3,0,Z,,727
728,4646,Commerce de gros de produits pharmaceutiques,4,46,4,6,,,728
729,4950Z,Transports par conduites,5,49,5,0,Z,,729
730,2011Z,Fabrication de gaz industriels,5,20,1,1,Z,,730
731,2540Z,Fabrication d'armes et de munitions,5,25,4,0,Z,,731
732,4221,Construction de réseaux pour fluides,4,42,2,1,,,732
733,2442Z,Métallurgie de l'aluminium,5,24,4,2,Z,,733
734,4636Z,"Commerce de gros de sucre, chocolat et confiserie",5,46,3,6,Z,,734
735,4799A,Vente à domicile,5,47,9,9,A,,735
736,263,Fabrication d'équipements de communication,3,26,3,,,,736
737,1711Z,Fabrication de pâte à papier,5,17,1,1,Z,,737
738,8292,Activités de conditionnement,4,82,9,2,,,738
739,2660,Fab. éqpts d'irradiation médic. électromédic. & électrothérapeut.,4,26,6,0,,,739
740,264,Fabrication de produits électroniques grand public,3,26,4,,,,740
741,4941A,Transports routiers de fret interurbains,5,49,4,1,A,,741
742,6920Z,Activités comptables,5,69,2,0,Z,,742
743,9102Z,Gestion des musées,5,91,0,2,Z,,743
744,8130,Services d'aménagement paysager,4,81,3,0,,,744
745,1072Z,"Fabrication de biscuits, biscottes et pâtisseries de conservation",5,10,7,2,Z,,745
746,2824,Fabrication d'outillage portatif à moteur incorporé,4,28,2,4,,,746
747,842,Services de prérogative publique,3,84,2,,,,747
748,2720,Fabrication de piles et d'accumulateurs électriques,4,27,2,0,,,748
749,6020B,Edition de chaînes thématiques,5,60,2,0,B,,749
750,4741Z,Comm. détail ordinateurs unités périph. & logiciels (magas. spéc),5,47,4,1,Z,,750
751,8421Z,Affaires étrangères,5,84,2,1,Z,,751
752,5829B,Edition de logiciels outils de développement et de langages,5,58,2,9,B,,752
753,2896,Fabric. machines pour le travail du caoutchouc ou des plastiques,4,28,9,6,,,753
754,2660Z,Fab. éqpts d'irradiation médic. électromédic. & électrothérapeut.,5,26,6,0,Z,,754
755,4759B,Commerce de détail d'autres équipements du foyer,5,47,5,9,B,,755
756,7731,Location et location-bail de machines et équipements agricoles,4,77,3,1,,,756
757,2451Z,Fonderie de fonte,5,24,5,1,Z,,757
758,2593Z,"Fabrication d'articles en fils métalliques, chaînes et ressorts",5,25,9,3,Z,,758
759,1052Z,Fabrication de glaces et sorbets,5,10,5,2,Z,,759
760,360,"Captage, traitement et distribution d'eau",3,36,0,,,,760
761,6391,Activités des agences de presse,4,63,9,1,,,761
762,114,Culture de la canne à sucre,3,11,4,,,,762
763,127,Culture de plantes à boissons,3,12,7,,,,763
764,4621,"Comm. de gros céréales, tabac non manuf. et aliments pour bétail",4,46,2,1,,,764
765,2594,Fabrication de vis et de boulons,4,25,9,4,,,765
766,592,Enregistrement sonore et édition musicale,3,59,2,,,,766
767,55,Hébergement,2,55,,,,,767
768,1061B,Autres activités du travail des grains,5,10,6,1,B,,768
769,8219,Photocopie prépa. documents & aut. activ. spéc. soutien de bureau,4,82,1,9,,,769
770,211,Fabrication de produits pharmaceutiques de base,3,21,1,,,,770
771,1320Z,Tissage,5,13,2,0,Z,,771
772,2014Z,Fabrication d'autres produits chimiques organiques de base,5,20,1,4,Z,,772
773,38,"Collecte, traitement et élimination des déchets ; récupération",2,38,,,,,773
774,4632,Commerce de gros de viandes et de produits à base de viande,4,46,3,2,,,774
775,144,Élevage de chameaux et d'autres camélidés,3,14,4,,,,775
776,149,Élevage d'autres animaux,3,14,9,,,,776
777,2562B,Mécanique industrielle,5,25,6,2,B,,777
778,821,Activités administratives,3,82,1,,,,778
779,17,"Chasse, piégeage et services annexes",2,17,,,,,779
780,222,Fabrication  de produits en plastique,3,22,2,,,,780
781,4615Z,"Interm. comm. en meubles, articles de ménage et quincaillerie",5,46,1,5,Z,,781
782,612,Télécommunications sans fil,3,61,2,,,,782
783,4765Z,Commerce de détail de jeux et jouets en magasin spécialisé,5,47,6,5,Z,,783
784,931,Activités liées au sport,3,93,1,,,,784
785,4721Z,Commerce de détail de fruits et légumes en magasin spécialisé,5,47,2,1,Z,,785
786,2320,Fabrication de produits réfractaires,4,23,2,0,,,786
787,5510,Hôtels et hébergement similaire,4,55,1,0,,,787
788,504,Transports fluviaux de fret,3,50,4,,,,788
789,1105,Fabrication de bière,4,11,0,5,,,789
790,2431,Étirage à froid de barres,4,24,3,1,,,790
791,4638,Comm. gros autres prod. alim. yc poissons crustacés mollusques,4,46,3,8,,,791
792,5629,Autres services de restauration,4,56,2,9,,,792
793,5030Z,Transports fluviaux de passagers,5,50,3,0,Z,,793
794,131,Préparation de fibres textiles et filature,3,13,1,,,,794
795,121,Culture de la vigne,3,12,1,,,,795
796,9511,Réparation d'ordinateurs et d'équipements périphériques,4,95,1,1,,,796
797,2110Z,Fabrication de produits pharmaceutiques de base,5,21,1,0,Z,,797
798,8121Z,Nettoyage courant des bâtiments,5,81,2,1,Z,,798
799,4617,"Intermédiaires du commerce en denrées, boissons et tabac",4,46,1,7,,,799
800,4664Z,Comm. gros (interentr.) machines pour industrie textile & habill.,5,46,6,4,Z,,800
801,6202A,Conseil en systèmes et logiciels informatiques,5,62,0,2,A,,801
802,381,Collecte des déchets,3,38,1,,,,802
