,ape,ape_name,ape_len,ape_cat0,ape_cat1,ape_cat2,ape_cat3,ape_cat4,enthic
1499,6810Z,Activités des marchands de biens immobiliers,5,68,1,0,Z,,1499
1500,8559,Enseignements divers,4,85,5,9,,,1500
1501,1101,Production de boissons alcooliques distillées,4,11,0,1,,,1501
1502,1092,Fabrication d'aliments pour animaux de compagnie,4,10,9,2,,,1502
1503,2825,Fabrication équipements aérauliques et frigorifiques industriels,4,28,2,5,,,1503
1504,6619A,Supports juridiques de gestion de patrimoine mobilier,5,66,1,9,A,,1504
1505,4663Z,"Comm de gros de machines pour l'extrac, la constr, le génie civil",5,46,6,3,Z,,1505
1506,4634Z,Commerce de gros (commerce interentreprises) de boissons,5,46,3,4,Z,,1506
1507,30,Fabrication d'autres matériels de transport,2,30,,,,,1507
1508,2822Z,Fabrication de matériel de levage et de manutention,5,28,2,2,Z,,1508
1509,7911Z,Activités des agences de voyage,5,79,1,1,Z,,1509
1510,9001,Arts du spectacle vivant,4,90,0,1,,,1510
1511,1439,Fabrication d'autres articles à mailles,4,14,3,9,,,1511
1512,491,Transport ferroviaire interurbain de voyageurs,3,49,1,,,,1512
1513,0170Z,"Chasse, piégeage et services annexes",5,01,7,0,Z,,1513
1514,7220Z,Recherche-développement en sciences humaines et sociales,5,72,2,0,Z,,1514
1515,6420Z,Activités des sociétés holding,5,64,2,0,Z,,1515
1516,9529,Réparation d'autres biens personnels et domestiques,4,95,2,9,,,1516
1517,6202B,Tierce maintenance de systèmes et d’applications informatiques,5,62,0,2,B,,1517
1518,2399Z,Fabrication d'autres produits minéraux non métalliques n.c.a.,5,23,9,9,Z,,1518
1519,8110Z,Activités combinées de soutien lié aux bâtiments,5,81,1,0,Z,,1519
1520,3012,Construction de bateaux de plaisance,4,30,1,2,,,1520
1521,1394Z,"Fabrication de ficelles, cordes et filets",5,13,9,4,Z,,1521
1522,2790,Fabrication d'autres matériels électriques,4,27,9,0,,,1522
1523,6190Z,Autres activités de télécommunication,5,61,9,0,Z,,1523
1524,1051D,Fabrication d'autres produits laitiers,5,10,5,1,D,,1524
1525,1624,Fabrication d'emballages en bois,4,16,2,4,,,1525
